task,task_key,primary_task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,group_macro_rmse_target,group_macro_mae_target,param_count,train_time_s,epochs_completed,best_val_loss,checkpoint,wall_time_s,reused,train_groups,validation_groups,calibration_groups,test_groups,train_rows,test_rows,source_prediction,method_variant,stored_training_values,selected_degree,local_basis_terms,neighbors,best_validation_mse,candidate_validation,selected_hidden,best_epoch,best_validation_mse_scaled,constraint_axis,monotonic_sign,test_axis_gradient_abs_p95_scaled,test_axis_curvature_abs_p95_scaled,test_monotonic_violation_fraction,stored_curve_points,stored_curves,selected_neighbor_curves,selected_distance_power,boundary_hold_evaluations
APD_I_dark,dark_current,True,49,dkan,0.12170953230987307,0.08930697581883461,0.9902683688569809,3.191092445147493e-07,5.863166865310236e-08,14.824517659122431,55.074276670708365,0.11796534440104423,0.08930697581883461,952,5.320284199900925,,,,5.350936699891463,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/dkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,49,mlp_l,0.22590819157159753,0.16243425894430966,0.9664725587330321,6.264452521118749e-07,1.3604977277195636e-07,29.956815365078835,83.47638835639574,0.2248592081191168,0.16243425894430966,2561,1.1292591001838446,,,,1.1322476000059396,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/mlp_l/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,49,spline_ridge,0.1387721799816023,0.10145597689050614,0.9873485217322612,2.416536546170294e-07,5.4698486457962214e-08,17.16608269908894,70.17771867500764,0.13714792380759122,0.10145597689050616,43,,,,,0.004122699843719602,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/spline_ridge/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,49,gmls,0.18810594786452572,0.1407415281888474,0.9767543599565166,3.512807119897304e-07,8.003853172191412e-08,23.69796858702657,89.80066616736282,0.1826851928289595,0.1407415281888474,28203,0.1818219999986468,,,,0.1818392999994103,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/gmls/test_predictions.csv,validation_selected_gaussian_gmls_adapted,28203.0,2.0,28.0,112.0,0.038263782998317994,"[{""degree"": 1, ""neighbor_factor"": 4, ""neighbors"": 48, ""validation_mse"": 0.0664997933984718}, {""degree"": 2, ""neighbor_factor"": 4, ""neighbors"": 112, ""validation_mse"": 0.038263782998317994}, {""degree"": 2, ""neighbor_factor"": 8, ""neighbors"": 224, ""validation_mse"": 0.04857904062645618}]",,,,,,,,,,,,,
APD_I_dark,dark_current,True,49,autopinn,0.20592107600768175,0.14601061793938636,0.9721427622834888,5.819807572209536e-07,1.3848290397127474e-07,24.174119990888173,122.79754334621146,0.203983206735331,0.14601061793938636,1313,1.311591599995154,,,,1.3116995000018505,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/autopinn/test_predictions.csv,autopinn_adapted_smooth_monotone_architecture_search,,,,,,"[{""best_epoch"": 300, ""hidden"": ""16x16"", ""param_count"": 401, ""validation_mse_scaled"": 0.03709975257515907}, {""best_epoch"": 300, ""hidden"": ""32x16"", ""param_count"": 769, ""validation_mse_scaled"": 0.027454107999801636}, {""best_epoch"": 300, ""hidden"": ""32x32"", ""param_count"": 1313, ""validation_mse_scaled"": 0.02563776634633541}]",32x32,300.0,0.02563776634633541,bias_v,-1.0,4.334680557250977,7.6804609298706055,0.0,,,,,
APD_I_dark,dark_current,True,49,curve_lut,0.13016203888607125,0.10614878103650673,0.9888697443908782,2.7282643224603175e-07,8.48932194300593e-08,19.840479884664305,78.10752698368056,0.1191349668650085,0.10614878103650674,4284,0.03160127699999293,,,,0.03164369799998212,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_49/dark_current/curve_lut/test_predictions.csv,curve_object_pchip_lut_condition_idw,4284.0,,,,0.02035830901752896,"[{""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 1, ""validation_mse"": 0.02569855275870632}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 2, ""validation_mse"": 0.029054146828094013}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 4, ""validation_mse"": 0.02140983799471622}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 4, ""validation_mse"": 0.02035830901752896}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 8, ""validation_mse"": 0.027457089934889548}]",,,,,,,,,4029.0,51.0,4.0,2.0,0.0
APD_I_dark,dark_current,True,50,bkan,0.10039010101805815,0.06680284567460752,0.9931171695149611,3.8591195898029707e-07,6.143599061819021e-08,9.955302410794495,48.550034548286845,0.10010413665741207,0.06680284567460752,1664,171.82618630002253,300.0,-1.518627683321635,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_50\dark_current\bkan\model_checkpoint.pt,172.13604459981434,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/bkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,50,dkan,0.15697801850033502,0.11896829005596482,0.9831708191817163,4.1687056536685403e-07,8.931886105325428e-08,21.682324548509747,67.26128337793921,0.14994858997009855,0.11896829005596482,952,5.2834912000689656,,,,5.314275200013071,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/dkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,50,mlp_l,0.2478149390570769,0.1853815807923881,0.9580588573745714,6.093180805679793e-07,1.422465526544085e-07,37.78346796548747,90.12848730334782,0.2474242255890386,0.1853815807923881,2561,1.1954093999229372,,,,1.198360800044611,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/mlp_l/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,50,spline_ridge,0.13927628240152026,0.10315159758384443,0.9867523262862146,2.501993947236333e-07,5.865569933767298e-08,17.902096817844303,71.93384058702499,0.13895901095131746,0.10315159758384441,43,,,,,0.004392600152641535,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/spline_ridge/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,50,gmls,0.16889228040588128,0.1232154880841707,0.980519285105498,3.6462156450233797e-07,7.571257526481144e-08,19.820483425180825,82.29261545098555,0.16399540173030125,0.12321548808417071,28203,0.18134069998632185,,,,0.18135840000468306,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/gmls/test_predictions.csv,validation_selected_gaussian_gmls_adapted,28203.0,2.0,28.0,112.0,0.04734878582079022,"[{""degree"": 1, ""neighbor_factor"": 4, ""neighbors"": 48, ""validation_mse"": 0.08293290738379756}, {""degree"": 2, ""neighbor_factor"": 4, ""neighbors"": 112, ""validation_mse"": 0.04734878582079022}, {""degree"": 2, ""neighbor_factor"": 8, ""neighbors"": 224, ""validation_mse"": 0.05325601577962973}]",,,,,,,,,,,,,
APD_I_dark,dark_current,True,50,autopinn,0.18927046615036475,0.13214335321791046,0.9755346747049097,5.451282420131402e-07,1.1121214628410236e-07,20.334535873600075,83.59812990153657,0.18877034083037114,0.1321433532179105,401,1.3152935999969486,,,,1.3153665999998339,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/autopinn/test_predictions.csv,autopinn_adapted_smooth_monotone_architecture_search,,,,,,"[{""best_epoch"": 300, ""hidden"": ""16x16"", ""param_count"": 401, ""validation_mse_scaled"": 0.027813881635665894}, {""best_epoch"": 300, ""hidden"": ""32x16"", ""param_count"": 769, ""validation_mse_scaled"": 0.04336632043123245}, {""best_epoch"": 300, ""hidden"": ""32x32"", ""param_count"": 1313, ""validation_mse_scaled"": 0.03743302822113037}]",16x16,300.0,0.027813881635665894,bias_v,-1.0,3.816603183746338,5.351480960845947,0.0,,,,,
APD_I_dark,dark_current,True,50,curve_lut,0.1363521565048639,0.11757312979197766,0.9873027604526108,2.649178222467488e-07,8.343073445778474e-08,22.72962565059826,78.98321462920352,0.12385829537953308,0.11757312979197765,4284,0.03239066100002219,,,,0.03243371199999956,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_50/dark_current/curve_lut/test_predictions.csv,curve_object_pchip_lut_condition_idw,4284.0,,,,0.01625086224407469,"[{""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 1, ""validation_mse"": 0.03753388777340646}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 2, ""validation_mse"": 0.01998513972785014}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 4, ""validation_mse"": 0.020360645951463648}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 4, ""validation_mse"": 0.02085319115908666}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 8, ""validation_mse"": 0.01625086224407469}]",,,,,,,,,4029.0,51.0,8.0,2.0,0.0
APD_I_dark,dark_current,True,51,bkan,0.09791990405735841,0.05969573187766267,0.9934564669183225,2.354415517841973e-07,3.943653558290469e-08,8.583800189230367,55.92197743218613,0.09682800949561932,0.05969573187766267,1664,172.60300419991836,300.0,-1.5652572711308796,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_51\dark_current\bkan\model_checkpoint.pt,172.91348210000433,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_51/dark_current/bkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,51,dkan,0.10010012369369299,0.06650988174147578,0.9931618350581523,2.9184907060099505e-07,5.451905853976791e-08,9.347491732292632,53.27150596768339,0.09960071050343716,0.06650988174147578,952,5.29599709995091,,,,5.32722539990209,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_51/dark_current/dkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,51,mlp_l,0.3135892312922195,0.24347166768191883,0.9328891677059444,6.033687203718021e-07,1.508257454673457e-07,50.16823033542359,142.1574850046381,0.3127795722558171,0.24347166768191886,2561,1.1786685998085886,,,,1.1816968000493944,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_51/dark_current/mlp_l/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,51,spline_ridge,0.13094141548099542,0.0924340037633389,0.9882989615479622,2.02310792905567e-07,4.8075498155875144e-08,14.780551055532822,64.29415502206483,0.13022468618194305,0.0924340037633389,43,,,,,0.004403800005093217,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_51/dark_current/spline_ridge/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
