task_key,task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,rmse_db_or_raw,r2_raw,nonzero_bias_rmse_raw,median_ape_percent,structure_macro_rmse_target,wall_time_s,param_count,train_rows,validation_rows,test_rows,reused
resonance_shift,Ring_resonance_shift,42,bkan,10.953702350033778,9.090397119729028,0.9998437108863184,10.953702350033778,9.090397119729028,1.3310133983202694,6.062823486328118e+32,10.953702350033778,0.9998437108863184,11.054506357066925,1.1984868395462769,10.791919510718365,192.01565099996515,1872,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,dkan,10.497239858436489,7.487474343117523,0.9998564652362053,10.497239858436489,7.487474343117523,0.5167210008671868,1.0889788818359371e+33,10.497239858436489,0.9998564652362053,10.034777215810243,0.4502526471114791,10.30015064017521,4.969659700000193,1088,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,mlp_l,12.61972738933355,10.154373105712478,0.9997925531693288,12.61972738933355,10.154373105712478,0.9629881133079536,1.9336956787109362e+33,12.61972738933355,0.9997925531693288,11.863471574644965,0.9107821229622519,12.602488531977858,1.8048477999982424,2625,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,spline_ridge,0.6775707381742331,0.4531452400689149,0.9999994019794038,0.6775707381742331,0.4531452400689149,0.04413070718624801,1.2193240537211466e+31,0.6775707381742331,0.9999994019794038,0.6911230194809415,0.037408545016297354,0.5358084103687015,0.019302900007460266,50,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,autopinn,31.892860293384615,23.038464394299165,0.9986750673628015,31.892860293384615,23.038464394299165,1.4194341451704438,1.4024285888671855e+33,31.892860293384615,0.9986750673628015,31.061909937645115,1.2558126513631414,30.001300000153208,4.768624999967869,801,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,curve_lut,62.22547569691188,9.140934174606407,0.9949563689690002,62.22547569691188,9.140934174606407,0.013602761221411817,0.08551560302293772,62.22547569691188,0.9949563689690002,62.2212999770903,0.014776631685166079,15.774485373714949,1.8786360999802127,20592,9360,1440,1440,False
resonance_shift,Ring_resonance_shift,42,semiempirical,0.6521486036395273,0.44030673196714737,0.9999994460124627,0.6521486036395273,0.44030673196714737,0.04297535311942806,1.1737925930906378e+31,0.6521486036395273,0.9999994460124627,0.6639686208198168,0.03735681759758501,0.5203607265677069,0.12489610002376139,89,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,bkan,0.006054291873684171,0.003948927997125933,0.9967226696430722,637.5157388517724,330.9590343691138,0.6447780906250129,2.599832153754991,637.5157388517724,0.994935401100669,637.5157388517724,0.6447780906250129,0.004925792268582014,194.0695718000061,1872,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,dkan,0.007978525221292627,0.005834379386178706,0.9943083425175335,787.4529970249253,485.5222104711023,1.0336826913348385,3.57492806164184,787.4529970249253,0.992272971487978,787.4529970249253,1.0336826913348385,0.006870414621161161,4.467511900002137,1088,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,mlp_l,0.007281480713541493,0.005848363031527584,0.9952594042872197,619.1740447545211,472.3881296637257,1.1709732176742962,3.2055555368659254,619.1740447545211,0.9952226317398792,619.1740447545211,1.1709732176742962,0.006821521015667402,1.2534610999864526,2625,9360,1440,1440,False
