model,model_label,resonance_shift,quality_factor,drop_extinction,through_insertion,resonance_shift_rank,quality_factor_rank,drop_extinction_rank,through_insertion_rank,average_rank
bkan,BKAN-VI,11.054506357066924,0.6447780906250129,0.0814012346412587,1.3749764579296584,4,1,1,1,1.75
dkan,DKAN,10.034777215810244,1.0336826913348385,0.1199856590628972,1.5480500727163329,3,2,3,2,2.5
mlp_l,MLP-L,11.863471574644963,1.1709732176742962,0.1203065795628678,1.9275888873650808,5,4,4,3,4.0
spline_ridge,Spline-Ridge,0.6911230194809415,1.573403235544964,0.1910605701551082,3.2251284022621527,2,6,6,6,5.0
autopinn,AutoPINN-adapted,31.061909937645115,1.1063652642088522,0.1057444522880818,2.250798961971735,6,3,2,4,3.75
curve_lut,Curve-LUT-PCHIP,62.2212999770903,4.369482425739969,0.4869625626322881,8.967243708898003,7,7,7,7,7.0
semiempirical,Ring SemiEmpirical-CM,0.6639686208198168,1.5581445277157022,0.1717825752234626,2.870461596703267,1,5,5,5,4.0
