grid,iteration,train_total_loss,train_value_loss,train_derivative_loss,validation_total_loss,validation_value_loss,validation_derivative_loss
2,1,0.2309916913509369,0.2227533906698227,0.16476592421531677,0.08198028057813644,0.07344529777765274,0.17069962620735168
2,2,0.08749767392873764,0.0797213613986969,0.1555263102054596,0.04783642664551735,0.040226876735687256,0.15219102799892426
2,3,0.033226195722818375,0.027241842821240425,0.1196870282292366,0.02199806645512581,0.015928588807582855,0.12138955295085907
2,4,0.01950547657907009,0.016388460993766785,0.06234030798077583,0.013613134622573853,0.010455356910824776,0.06315555423498154
2,5,0.014297684654593468,0.011197324842214584,0.062007203698158264,0.010431786067783833,0.007317706011235714,0.062281593680381775
2,6,0.010668146423995495,0.008194460533559322,0.04947371780872345,0.007060463540256023,0.004648612812161446,0.048237018287181854
2,7,0.00598800927400589,0.004208674654364586,0.03558669239282608,0.004533711820840836,0.0028203814290463924,0.03426660597324371
2,8,0.005128068849444389,0.0033369529992341995,0.035822317004203796,0.004144678357988596,0.002528056502342224,0.032332438975572586
2,9,0.0038617397658526897,0.002644649473950267,0.024341808632016182,0.003365007694810629,0.0022635795176029205,0.022028561681509018
2,10,0.003298848867416382,0.0022643529810011387,0.020689914003014565,0.002742903772741556,0.0017918277299031615,0.019021522253751755
2,11,0.0020641200244426727,0.0015674057649448514,0.00993428472429514,0.001949910307303071,0.0014580868883058429,0.00983646884560585
2,12,0.0013149502919986844,0.0011233309051021934,0.0038323872722685337,0.001325690420344472,0.0011658830335363746,0.0031961470376700163
2,13,0.0010710146743804216,0.0009128868696279824,0.0031625553965568542,0.001468630158342421,0.0013424052158370614,0.0025244993157684803
2,14,0.000758439302444458,0.0006154350703582168,0.0028600848745554686,0.001332547515630722,0.0012347812298685312,0.0019553254824131727
2,15,0.0005713641294278204,0.0004460142517928034,0.002506997436285019,0.0009840570855885744,0.000902305415365845,0.0016350323567166924
2,16,0.0005065692821517587,0.00039714889135211706,0.002188408048823476,0.0009136410662904382,0.0008490821928717196,0.0012911779340356588
2,17,0.0004078614292666316,0.00031480161123909056,0.001861196244135499,0.0007134167244657874,0.0006650001159869134,0.0009683318785391748
2,18,0.0003671625745482743,0.00028184460825286806,0.0017063594423234463,0.0006800919072702527,0.0006306464201770723,0.0009889103239402175
2,19,0.00032197614200413227,0.00024255408789031208,0.0015884411986917257,0.0005431360332295299,0.0005019877571612597,0.000822964939288795
2,20,0.00029821463976986706,0.0002253230195492506,0.001457832520827651,0.00047598249511793256,0.00044256908586248755,0.0006682680686935782
2,21,0.0002766669203992933,0.00020684883929789066,0.0013963613891974092,0.00043295856448821723,0.00039794392068870366,0.0007002927595749497
2,22,0.00025287296739406884,0.00019150483421981335,0.0012273624306544662,0.0003955148858949542,0.0003607796679716557,0.0006947041838429868
2,23,0.00023962139675859362,0.00018284714315086603,0.0011354850139468908,0.000447417376562953,0.0004153838090132922,0.0006406712927855551
2,24,0.00022564484970644116,0.00017528471653349698,0.0010072026634588838,0.00042423343984410167,0.00039046970778144896,0.0006752746994607151
2,25,0.00020143233996350318,0.00015657143376301974,0.0008972180658020079,0.00039841956458985806,0.00036690887645818293,0.0006302139954641461
2,26,0.00019018202146980911,0.00014520547119900584,0.0008995308890007436,0.00036271053249947727,0.00032938545336946845,0.0006665015243925154
2,27,0.00017712533008307219,0.00013182146358303726,0.0009060774464160204,0.000370758498320356,0.0003370685444679111,0.0006737988442182541
2,28,0.00016480668273288757,0.00011984597949776798,0.0008992141229100525,0.00036675549927167594,0.0003298295778222382,0.0007385186036117375
2,29,0.00015588116366416216,0.00011268005619058385,0.0008640221785753965,0.00035748936352320015,0.00032148888567462564,0.0007200093241408467
2,30,0.00014737503079231828,0.00010360206943005323,0.0008754591108299792,0.00033346330747008324,0.000293572258669883,0.0007978212088346481
4,1,0.015721874311566353,0.012139908038079739,0.07163932919502258,0.010536877438426018,0.006604808382689953,0.0786413848400116
4,2,0.0055754478089511395,0.005248391535133123,0.006541125010699034,0.0037419297732412815,0.0034379262942820787,0.006080069113522768
4,3,0.003912293817847967,0.003758105682209134,0.0030837608501315117,0.002988171996548772,0.0028413045220077038,0.002937349257990718
4,4,0.00281379627995193,0.0026927131693810225,0.002421660115942359,0.0023504644632339478,0.002230629324913025,0.002396703464910388
4,5,0.0023380473721772432,0.0022223591804504395,0.0023137626703828573,0.0023832381702959538,0.002263082889840007,0.002403103979304433
4,6,0.002048472873866558,0.0019383017206564546,0.0022034214343875647,0.002823102055117488,0.0027039041742682457,0.002383958315476775
4,7,0.0017377095064148307,0.0016112739685922861,0.002528711687773466,0.003104003146290779,0.0029726759530603886,0.002626544563099742
4,8,0.0012837082613259554,0.0011496784863993526,0.0026805950328707695,0.0024234941229224205,0.0023140700068324804,0.0021884834859520197
4,9,0.000990876811556518,0.0008554269443266094,0.0027089964132755995,0.0022055329754948616,0.0020765657536685467,0.002579342108219862
4,10,0.0006615202291868627,0.0005666570505127311,0.00189726403914392,0.001887318561784923,0.0018041223520413041,0.0016639236127957702
4,11,0.00043645361438393593,0.00034992789733223617,0.0017305139917880297,0.0011106438469141722,0.001032849308103323,0.0015558908926323056
4,12,0.00037659640656784177,0.0003048513026442379,0.0014349017292261124,0.0010536692570894957,0.0009928860235959291,0.0012156639713793993
4,13,0.0003215921460650861,0.0002478383539710194,0.0014750758418813348,0.000844897236675024,0.0007856602314859629,0.0011847402201965451
4,14,0.0002555816899985075,0.0001933154562721029,0.0012453248491510749,0.0007500306237488985,0.0006984146311879158,0.001032319269143045
4,15,0.0002032891206908971,0.000150696185301058,0.0010518585331737995,0.000702623394317925,0.0006570828845724463,0.0009108104859478772
4,16,0.00015994295245036483,0.00011606782936723903,0.0008775024907663465,0.0006993489223532379,0.0006622725632041693,0.000741527124773711
4,17,0.00013785246119368821,9.600230259820819e-05,0.0008370031137019396,0.0006535125430673361,0.0006151850102469325,0.0007665502489544451
4,18,0.00012572258128784597,8.680978498887271e-05,0.0007782559259794652,0.0006126696825958788,0.0005773997399955988,0.0007053992594592273
4,19,0.00011481544061098248,7.575813651783392e-05,0.0007811461109668016,0.0006057564751245081,0.0005683035706169903,0.0007490576826967299
4,20,0.00010016512533184141,6.71649759169668e-05,0.0006600029300898314,0.0005708022508770227,0.0005388186546042562,0.0006396715762093663
4,21,8.966312452685088e-05,5.847655120305717e-05,0.0006237314664758742,0.0005310814012773335,0.0005015122005715966,0.0005913834902457893
4,22,8.37272236822173e-05,5.3456504247151315e-05,0.0006054143887013197,0.0005157330888323486,0.0004884431837126613,0.0005457982770167291
4,23,7.805268978700042e-05,5.1125200116075575e-05,0.0005385497352108359,0.0004996396019123495,0.00047639774857088923,0.0004648374451790005
4,24,7.494854071410373e-05,4.866657036473043e-05,0.0005256394506432116,0.0004891224089078605,0.00046592712169513106,0.0004639062681235373
4,25,6.748279702151194e-05,4.3975276639685035e-05,0.0004701504367403686,0.00047601573169231415,0.00045524255256168544,0.00041546375723555684
4,26,6.429449422284961e-05,4.197191810817458e-05,0.00044645153684541583,0.0004687629407271743,0.00044898336636833847,0.00039559119613841176
4,27,6.192766159074381e-05,4.0651444578543305e-05,0.0004255243402440101,0.0004655575903598219,0.00044727555359713733,0.00036564056063070893
4,28,5.791880175820552e-05,3.819118865067139e-05,0.0003945522475987673,0.00045046041486784816,0.0004331924137659371,0.00034535996383056045
4,29,5.522298306459561e-05,3.658697823993862e-05,0.0003727201255969703,0.00043819830170832574,0.00042191246757283807,0.0003257166245020926
4,30,5.255520227365196e-05,3.579233089112677e-05,0.00033525744220241904,0.00043314602226018906,0.0004185465513728559,0.00029198930133134127
