task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows
I_photo,43,bkan_parameter_mean,0.006026764843612036,0.934390882716887,0.013190796912048719,0.014576118206729216,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_43\I-photo-bayes-results\model_checkpoint.pt,a78e4b4d73eef9af5a6c42ed8410026b50eb2227d68e47a445ebe7644136e767,5.866647851108364e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\bkan\test_predictions.csv,reference_difference_only,0.000421978939819212,0.000156243703399444,3.360557e-05,256
I_photo,43,dkan,0.006523356860287224,0.9231333459728933,0.012127063551520378,0.0168317963836091,,,,1310,2.7518930000369437,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,2.5809568279517847e-08,3.3601169586181644e-05,256
I_photo,43,mlp_l,0.005830954966599879,0.9385849122180115,0.010717568518688547,0.014711778378238005,,,,2561,0.32647809997433797,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_43\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.5700924586837752e-16,3.3565423488616944e-05,256
