task,scenario,holdout_column,holdout_side,model,n_runs,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,infer_bs1_s_mean,infer_bs1_s_std,infer_per_sample_s_mean,infer_per_sample_s_std,n_train_mean,n_train_std,n_test_mean,n_test_std
I_photo,voltage_extreme_reverse,light_voltage,low,pdk_lut_knn,1,0.008637497106446608,0.0,0.007771067954612712,0.0,-0.4678556051858791,0.0,1.035816955966658e-05,0.0,9.295866625148227e-06,0.0,1.7345809444605582,0.0,3.1909320372454757,0.0,13440.0,0.0,0.0016880999901331961,0.0,0.0003523099992889911,0.0,8.275031250377651e-06,0.0,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,poly3_ridge,1,0.008852160257734007,0.0,0.00732973470651456,0.0,-0.5417218987630095,0.0,1.0796051934322517e-05,0.0,8.917951059145622e-06,0.0,1.5127059852258178,0.0,3.8386691048502284,0.0,84.0,0.0,0.003029200015589595,0.0,0.00011167333189708492,0.0,4.262864604243077e-07,0.0,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,spline_ridge,1,0.007305371330452442,0.0,0.006186520687939571,0.0,-0.05000676618414057,0.0,8.760130473464504e-06,0.0,7.4086735581723576e-06,0.0,1.350155443591889,0.0,3.015540866705689,0.0,43.0,0.0,0.0022968000266700983,0.0,0.00022582666715607048,0.0,7.453593752870802e-07,0.0,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,rbf_nystroem,3,0.005797864950743092,0.00020285642457137975,0.004195434042960622,0.00022699271627337278,0.33782158382819044,0.046293777166386635,6.974195986839582e-06,2.0236998285293168e-07,5.04198024276754e-06,2.5569298497390446e-07,0.7000963481836499,0.05277434972989653,2.8518032491856924,0.10349683739488373,2689.0,0.0,0.048642966663464904,0.0031619059837129687,0.0002730666666239914,3.4468215225794146e-05,4.915390624470699e-06,3.4969157981850674e-07,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,mlp_l,3,0.004780126178799221,9.241238039905547e-05,0.0039022850333024794,7.951207542294454e-05,0.5502734632849277,0.017285517667491923,5.751664478235085e-06,1.1358749209606849e-07,4.690458735412544e-06,9.633994814118729e-08,0.7921925218314531,0.01100512504666079,2.104296505724575,0.043159069172557345,2561.0,0.0,0.4877298666591135,0.009195064637129425,,,,,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,dkan,3,0.016563219927575205,0.0011284070020941284,0.01426405075238014,0.0017911510043296867,-4.422606388694448,0.7354598690104478,1.9553310923002653e-05,1.3253476503547004e-06,1.685091110564045e-05,2.096001953117665e-06,3.3125852187973144,0.647358628212625,5.9310809986883894,0.15141950143508487,952.0,0.0,3.8950256666673035,0.13397582279012715,,,,,1920.0,0.0,640.0,0.0
I_photo,voltage_extreme_reverse,light_voltage,low,bkan,3,0.01765802321739743,0.00039367453455811213,0.015193093383726914,0.0002987628933232786,-5.137725769734353,0.27466173414206285,2.0824523083046525e-05,4.5190850431197325e-07,1.7928265577949604e-05,3.4268804676230605e-07,3.614116880525849,0.07041430570779875,6.272945246483014,0.12363670167865091,1664.0,0.0,86.04929326668692,1.054444025820619,,,,,1920.0,0.0,640.0,0.0
I_photo,length_high,active_layer_length,high,pdk_lut_knn,1,0.008879276232379617,0.0,0.007537589095811873,0.0,0.8416277560853624,0.0,1.0209044019037024e-05,0.0,8.691781735657207e-06,0.0,1.6794449547495276,0.0,3.366513638482202,0.0,14336.0,0.0,0.002129299973603338,0.0,0.00034925999934785066,0.0,1.1189752603968372e-05,0.0,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,poly3_ridge,1,0.01963823245689101,0.0,0.015490817055462111,0.0,0.22530861036820138,0.0,2.218677892384763e-05,0.0,1.757809819650546e-05,0.0,2.7052179801720593,0.0,8.854685557407981,0.0,84.0,0.0,0.0027528000064194202,0.0,0.00012721666716970504,0.0,6.037044272488856e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,spline_ridge,1,0.009314113887507528,0.0,0.008649641971863142,0.0,0.8257362626290877,0.0,1.0742976443367836e-05,0.0,9.9549753764127e-06,0.0,2.1079782499070125,0.0,2.9858656485105395,0.0,43.0,0.0,0.003572800022084266,0.0,0.00033864333333137137,0.0,9.720117191136524e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,rbf_nystroem,3,0.029518838193469187,0.007991410936065839,0.023480155770867133,0.0060217996675656,-0.8786236770845145,0.9813440918761023,3.3056724548631795e-05,8.277574706186885e-06,2.6408401550539095e-05,6.374811919025914e-06,4.1956681429826785,0.8504246154135884,13.454045565716696,3.8284224246948138,2689.0,0.0,0.050253166700713336,0.0008404769274564716,0.0002843266669919507,3.271115570283765e-05,5.661996527174374e-06,2.9056054156997946e-07,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,mlp_l,3,0.005078897246864144,0.0002362204370535631,0.004348699587622418,0.000223782364148252,0.9480720426932635,0.004893976017356289,5.861816043722767e-06,2.632471749041465e-07,5.0244641920703855e-06,2.536221467118572e-07,0.9787285424199933,0.03625430815597541,2.059622268103435,0.0932590958361677,2561.0,0.0,0.5442381333171701,0.035491276547412805,,,,,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,dkan,3,0.00949089794326944,0.0016442236226345364,0.0077210194586593605,0.0013167055088160885,0.8136277778326754,0.06518403324115546,1.0904882333985407e-05,1.7802983810497415e-06,8.921903143480846e-06,1.4818697481975663e-06,1.4681098006005673,0.27469386665897216,4.247152929553579,0.729556868144903,952.0,0.0,3.8700795666857934,0.10062988757445822,,,,,2048.0,0.0,512.0,0.0
I_photo,length_high,active_layer_length,high,bkan,3,0.011225577929310226,0.0006522905076149053,0.009206546202788319,0.0007654532000735399,0.7460166350645502,0.028886991399227326,1.296247835446703e-05,8.118523930877256e-07,1.0699409237435023e-05,9.210658247216445e-07,1.7255148617859934,0.1688482582733883,5.2568772456441435,0.20523183691222188,1664.0,0.0,90.46655066668366,2.9057045021234336,,,,,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,pdk_lut_knn,1,0.009174028005561503,0.0,0.006921660085087888,0.0,0.8415506167570516,0.0,1.0089517104694287e-05,0.0,7.757466966049196e-06,0.0,1.3317752475858655,0.0,4.3120110405333465,0.0,14336.0,0.0,0.0022188000148162246,0.0,0.00029461666708812116,0.0,1.1711074220481047e-05,0.0,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,poly3_ridge,1,0.014677369032694593,0.0,0.011102740602384784,0.0,0.5944290336386133,0.0,1.6258409217102528e-05,0.0,1.2431483467962083e-05,0.0,2.0250555953949254,0.0,6.9882709221024495,0.0,84.0,0.0,0.0027183000347577035,0.0,0.00015860666753724216,0.0,4.861263050770504e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,spline_ridge,1,0.007667042059004932,0.0,0.0062635490507711115,0.0,0.8893309654572762,0.0,8.692577829537057e-06,0.0,7.114677245408028e-06,0.0,1.1385642535168046,0.0,3.246041925478263,0.0,43.0,0.0,0.0027274999883957207,0.0,0.00022300333172703784,0.0,7.809895843517249e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,rbf_nystroem,3,0.020151142161836957,0.0018024355938029593,0.015029456061813641,0.001415244818969393,0.22939728392854122,0.13298813119486597,2.2641118709308783e-05,1.9173733463133655e-06,1.6903635992437836e-05,1.5397175660976185e-06,2.4312024495984392,0.1707311542608835,9.672961312280266,1.4487492549031418,2689.0,0.0,0.044722533338548,0.0008163153378384028,0.00028038777786100076,2.7463981084374634e-05,4.71052734256874e-06,1.207475631452455e-07,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,mlp_l,3,0.0053010913594906265,5.565441997249331e-05,0.004230157394207884,7.288946896817964e-05,0.9470886461456587,0.0011141128579404528,5.97004373138531e-06,6.12579833009751e-08,4.78801992300421e-06,8.198449305399344e-08,0.7962630512448244,0.01310735694895327,2.4835732482567487,0.042728864961887575,2561.0,0.0,0.4836500000092201,0.015028671592155563,,,,,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,dkan,3,0.00857286920040702,0.0007250109316398671,0.006622494318866678,0.0007342893819714424,0.860646490681265,0.02329343868798829,9.586727691128981e-06,8.023069619818593e-07,7.4773906094190635e-06,8.374641589393285e-07,1.2987205962956636,0.2573946636934539,3.5217401975309706,0.40875911702369855,952.0,0.0,3.6208503666566685,0.05721089565265302,,,,,2048.0,0.0,512.0,0.0
I_photo,temperature_high,simulation_temperature,high,bkan,3,0.006853686378948118,0.0002738086249034949,0.0053427589573314125,0.0003583343584162217,0.9114249335387564,0.0069692563854774105,7.744089545474447e-06,3.2441233500692924e-07,6.061479672088005e-06,4.246474557065504e-07,0.996457779922924,0.11106713646306393,2.7972802996049366,0.06745267761436805,1664.0,0.0,91.84853003335108,3.490020670768239,,,,,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,pdk_lut_knn,1,0.008560669210311995,0.0,0.006221901239471397,0.0,0.853980580781021,0.0,9.447744602722126e-06,0.0,7.0154315704455755e-06,0.0,1.040411617749128,0.0,4.143051498719749,0.0,14336.0,0.0,0.0019545999821275473,0.0,0.0004983000011028101,0.0,1.1067317708087406e-05,0.0,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,poly3_ridge,1,0.019172620653562605,0.0,0.012179271054582193,0.0,0.26758345925671545,0.0,2.104062423583034e-05,0.0,1.3555106921246401e-05,0.0,1.790768178745815,0.0,11.395348675781529,0.0,84.0,0.0,0.0027119999867863953,0.0,0.00012659999968794484,0.0,4.3680989468460516e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,spline_ridge,1,0.003708032610695458,0.0,0.0029336251843139725,0.0,0.9726043080160568,0.0,4.270765438778896e-06,0.0,3.368896332153877e-06,0.0,0.6561211411094188,0.0,1.648501926886988,0.0,43.0,0.0,0.0022838000440970063,0.0,0.00022660666533435385,0.0,7.290820311330511e-07,0.0,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,rbf_nystroem,3,0.01951882590735332,0.002874495432331352,0.014334884501022006,0.0016359901064834535,0.22443039394382322,0.23417959357058335,2.203818387035844e-05,3.0760011533558298e-06,1.624710712336167e-05,1.7670746732003086e-06,2.448310215396726,0.19622847978052216,8.93743886025218,1.5116786313674297,2689.0,0.0,0.047270400022777416,0.0009078735470176534,0.0002978966668403397,2.4948244930163427e-05,5.061597221356351e-06,1.3526248523675645e-07,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,mlp_l,3,0.0040036866945629525,2.147730830692626e-05,0.0031836451927131303,2.2942357994184744e-05,0.9680605192306047,0.00034214471553661695,4.539854475152107e-06,3.208201600696747e-08,3.630564409196968e-06,2.829205587930581e-08,0.6167371380572935,0.025235240128589614,1.752383539734664,0.011954495752360574,2561.0,0.0,0.5164113000112897,0.0031295481909627935,,,,,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,dkan,3,0.009023239973966318,0.001963922468932899,0.007402826324661511,0.0018303729528344652,0.8300890972353695,0.07007198796454711,1.0196510835347095e-05,2.3515417922863e-06,8.466351931563439e-06,2.1701652679085605e-06,1.5464880336215356,0.4395966862828133,3.9671012335315035,0.9507658887201922,952.0,0.0,3.8652017666803054,0.06655182629749667,,,,,2048.0,0.0,512.0,0.0
I_photo,trap_high,trap_assisted_recomb_A,high,bkan,3,0.006491872369853248,0.0018244195117260626,0.005565045786210016,0.0017269419877806633,0.9093958761850985,0.05187963822075392,7.4100341316354005e-06,2.09540137888553e-06,6.379760367952321e-06,1.9922468840950472e-06,1.2121902623196943,0.412434506073007,2.6667682106119734,0.718609894930407,1664.0,0.0,79.25297713334051,4.356852167314419,,,,,2048.0,0.0,512.0,0.0
